page,question_id,image_path
12,A14,output_crops/images/p012_A14.png
12,A15,output_crops/images/p012_A15.png
12,A16,output_crops/images/p012_A16.png
12,A17,output_crops/images/p012_A17.png
12,A18,output_crops/images/p012_A18.png
13,A19,output_crops/images/p013_A19.png
13,A20,output_crops/images/p013_A20.png
13,A21,output_crops/images/p013_A21.png
13,A22,output_crops/images/p013_A22.png
13,A23,output_crops/images/p013_A23.png
13,A24,output_crops/images/p013_A24.png
14,A25,output_crops/images/p014_A25.png
14,A26,output_crops/images/p014_A26.png
14,A27,output_crops/images/p014_A27.png
14,A28,output_crops/images/p014_A28.png
14,A29,output_crops/images/p014_A29.png
14,A30,output_crops/images/p014_A30.png
15,A31,output_crops/images/p015_A31.png
15,A32,output_crops/images/p015_A32.png
15,A33,output_crops/images/p015_A33.png
15,A34,output_crops/images/p015_A34.png
15,A35,output_crops/images/p015_A35.png
16,A36,output_crops/images/p016_A36.png
16,A37,output_crops/images/p016_A37.png
16,A38,output_crops/images/p016_A38.png
16,A39,output_crops/images/p016_A39.png
16,A40,output_crops/images/p016_A40.png
16,A41,output_crops/images/p016_A41.png
16,A42,output_crops/images/p016_A42.png
17,A43,output_crops/images/p017_A43.png
17,A44,output_crops/images/p017_A44.png
17,A45,output_crops/images/p017_A45.png
17,A46,output_crops/images/p017_A46.png
17,A47,output_crops/images/p017_A47.png
18,A48,output_crops/images/p018_A48.png
18,A49,output_crops/images/p018_A49.png
18,A50,output_crops/images/p018_A50.png
18,A51,output_crops/images/p018_A51.png
18,A52,output_crops/images/p018_A52.png
18,A53,output_crops/images/p018_A53.png
19,A54,output_crops/images/p019_A54.png
19,A55,output_crops/images/p019_A55.png
19,A56,output_crops/images/p019_A56.png
19,A57,output_crops/images/p019_A57.png
19,A58,output_crops/images/p019_A58.png
19,A59,output_crops/images/p019_A59.png
19,A60,output_crops/images/p019_A60.png
20,A61,output_crops/images/p020_A61.png
20,A62,output_crops/images/p020_A62.png
20,A63,output_crops/images/p020_A63.png
20,A64,output_crops/images/p020_A64.png
21,A65,output_crops/images/p021_A65.png
21,A66,output_crops/images/p021_A66.png
21,A67,output_crops/images/p021_A67.png
21,A68,output_crops/images/p021_A68.png
21,A69,output_crops/images/p021_A69.png
21,A70,output_crops/images/p021_A70.png
22,A71,output_crops/images/p022_A71.png
22,A72,output_crops/images/p022_A72.png
22,A73,output_crops/images/p022_A73.png
22,A74,output_crops/images/p022_A74.png
22,A75,output_crops/images/p022_A75.png
23,A76,output_crops/images/p023_A76.png
23,A77,output_crops/images/p023_A77.png
23,A78,output_crops/images/p023_A78.png
23,A79,output_crops/images/p023_A79.png
23,A80,output_crops/images/p023_A80.png
24,A81,output_crops/images/p024_A81.png
24,A82,output_crops/images/p024_A82.png
24,A83,output_crops/images/p024_A83.png
24,A84,output_crops/images/p024_A84.png
24,A85,output_crops/images/p024_A85.png
24,A86,output_crops/images/p024_A86.png
24,A87,output_crops/images/p024_A87.png
24,A88,output_crops/images/p024_A88.png
25,A89,output_crops/images/p025_A89.png
25,A90,output_crops/images/p025_A90.png
25,A91,output_crops/images/p025_A91.png
25,A92,output_crops/images/p025_A92.png
25,A93,output_crops/images/p025_A93.png
25,A94,output_crops/images/p025_A94.png
25,A95,output_crops/images/p025_A95.png
25,A96,output_crops/images/p025_A96.png
